IATA,ICAO,NAME
RQ,KMF,Kam Air
KQ,KQA,Kenya Airways
KJ,KLJ,KlasJet
KL,KLM,KLM
KM,KMM,KM Malta Airlines
KE,KAL,Korean Air
KY,KNA,Kunming Airlines
KU,KAC,Kuwait Airways
B0,DJT,La Compagnie
TM,LAM,LAM
QV,LAO,Lao Airlines
JJ,TAM,LATAM Airlines Brasil
4C,ARE,LATAM Airlines Colombia
XL,LNE,LATAM Airlines Ecuador
LA,LAN,LATAM Airlines Group
PZ,LAP,LATAM Airlines Paraguay
LP,LPE,LATAM Airlines Peru
M3,LTG,LATAM Cargo Brasil
UC,LCO,LATAM Cargo Chile
JT,LNI,Lion Air
LM,LOG,Loganair
GJ,CDC,Loong Air
LO,LOT,LOT Polish Airlines
8L,LKE,Lucky Air
LH,DLH,Lufthansa
VL,LHX,Lufthansa City Airlines
CL,CLH,Lufthansa CityLine
LG,LGL,Luxair
MD,MGY,Madagascar Airlines
MH,MAS,Malaysia Airlines
AE,MDA,Mandarin Airlines
MP,MPH,Martinair Cargo
M7,MAA,MasAir
L6,MAI,Mauritania Airlines International
4M,MGH,Mavi Gök Airlines (MGA)
ME,MEA,MEA
OM,MGL,MIAT Mongolian Airlines
MB,MNB,MNG Airlines
8M,MMA,Myanmar Airways International
UB,UBA,Myanmar National Airlines
N8,NCR,National Airlines
ON,RON,Nauru Airlines
NO,NOS,Neos
NE,NMA,Nesma Airlines
7H,RVF,New Pacific Airlines
NP,NIA,Nile Air
KZ,NCA,Nippon Cargo Airlines
DD,NOK,Nok Air
Y7,TYA,NordStar
N4,NWS,Nordwind Airlines
N7,FCM,Norra
BJ,LBT,Nouvelair
BK,OKA,Okay Airways
OA,OAL,Olympic Air
WY,OMA,Oman Air
OF,OLA,Overland Airways
PK,PIA,Pakistan International Airlines
2P,GAP,PAL Express
ZP,AZP,Paranair
PC,PGT,Pegasus Airlines
UF,PER,Petroleum Air Services
NI,PGA,PGA-Portugalia Airlines
PR,PAL,Philippine Airlines
PU,PUE,Plus Ultra
PO,PAC,Polar Air Cargo
HP,APF,PopulAir
PD,POE,Porter Airlines
M4,MSA,Poste Air Cargo
PW,PRF,Precision Air
P6,PVG,Privilege Style
P0,PFZ,Proflight Zambia
QF,QFA,Qantas
QR,QTR,Qatar Airways
IQ,QAZ,Qazaq Air
QW,QDA,Qingdao Airlines
4S,RSX,Red Sea Airlines
RX,RXI,Riyadh Air
FV,SDM,Rossiya Airlines
AT,RAM,Royal Air Maroc
BI,RBA,Royal Brunei
RJ,RJA,Royal Jordanian
DR,RLH,Ruili Airlines
7R,RLU,RusLine
WB,RWD,RwandAir
FR,RYR,Ryanair
RK,RUK,Ryanair UK
S7,SBI,S7 Airlines
FA,SFR,Safair
OV,OMS,Salam Air
SK,SAS,SAS
SP,SAT,SATA  Air Acores
SV,SVA,Saudi Arabian Airlines
DV,VSV,SCAT Airlines
TR,TGW,Scoot
O3,CSS,SF Airlines
SC,CDG,Shandong Airlines
FM,CSH,Shanghai Airlines
ZH,CSZ,Shenzhen Airlines
3U,CSC,Sichuan Airlines
7L,AZG,Silk Way West Airlines
SQ,SIA,Singapore Airlines
H2,SKU,SKY Airline
GQ,SEH,Sky express
PQ,SQP,SkyUp Airlines
5N,AUL,Smartavia
2N,LYX,SmartLynx Airlines Malta
QS,TVS,Smartwings
IE,SOL,Solomon Airlines
SZ,SMR,Somon Air
SA,SAA,South African Airways
WN,SWA,Southwest Airlines
2S,STW,Southwind Airlines
SG,SEJ,SpiceJet
UL,ALK,SriLankan Airlines
JX,SJX,STARLUX Airlines
SY,SCX,Sun Country Airlines
XQ,SXS,SunExpress
Y8,YZR,Suparna Airlines
WT,SWT,Swiftair
LX,SWR,SWISS
RB,SYR,Syrianair
TW,TWB,T'way Air
DT,DTA,TAAG Angola Airlines
TA,TAI,TACA
5U,TGU,TAG Airlines
TI,TWI,Tailwind Airlines
TP,TAP,TAP Air Portugal
RO,ROT,TAROM
TG,THA,Thai Airways International
SL,TLM,Thai Lion Air
GS,GCR,Tianjin Airlines
TV,TBA,Tibet Airlines
X3,TUI,TUIfly
TU,TAR,Tunisair
TK,THY,Turkish Airlines
U8,CYF,TUS Airways
GO,KZU,ULS Airlines Cargo
B7,UIA,UNI AIR
UA,UAL,United Airlines
UN,NUA,United Nigeria Airlines
5X,UPS,UPS Airlines
U6,SVR,Ural Airlines
UQ,CUH,Urumqi Air
BS,UBG,US-Bangla Airlines
UT,UTA,UTair
HY,UZB,Uzbekistan Airways
VJ,VJC,Vietjet
VN,HVN,Vietnam Airlines
VS,VIR,Virgin Atlantic
VA,VAU,Virgin Australia
Y4,VOI,Volaris
V7,VOE,Volotea
VY,VLG,Vueling
EB,PLM,Wamos Air
PN,CHB,West Air
WS,WJA,WestJet
WI,WHT,White coloured by you
WF,WIF,Wideroe
2W,WFL,World2Fly
MF,CXA,Xiamen Airlines
YG,HYT,YTO Cargo Airlines
